insee,commune,dep,lon,lat,pt,Température moyenne annuelle (°C)__reference,Température moyenne annuelle (°C)__basse,Température moyenne annuelle (°C)__mediane,Température moyenne annuelle (°C)__haute,Température moyenne en été (°C)__reference,Température moyenne en été (°C)__basse,Température moyenne en été (°C)__mediane,Température moyenne en été (°C)__haute,Température moyenne en hiver (°C)__reference,Température moyenne en hiver (°C)__basse,Température moyenne en hiver (°C)__mediane,Température moyenne en hiver (°C)__haute,Nombre de jours avec Tx ≥ 35°C (j/an)__reference,Nombre de jours avec Tx ≥ 35°C (j/an)__basse,Nombre de jours avec Tx ≥ 35°C (j/an)__mediane,Nombre de jours avec Tx ≥ 35°C (j/an)__haute,Nombre de nuits tropicales (j/an)__reference,Nombre de nuits tropicales (j/an)__basse,Nombre de nuits tropicales (j/an)__mediane,Nombre de nuits tropicales (j/an)__haute,Cumul de précipitations annuelles (mm)__reference,Cumul de précipitations annuelles (mm)__basse,Cumul de précipitations annuelles (mm)__mediane,Cumul de précipitations annuelles (mm)__haute
59010,Anneux,59,3.12596681029964,50.15666037003093,,10.453495792874836,13.28029187923593,13.467422208479016,13.723253106467206,17.60052390685306,20.286829518866007,20.968485226188733,21.64214306102349,3.5219715939860428,5.381899659011023,6.212609799460184,6.889314329346915,0.1016349144938108,1.480393429643518,3.1478651465703864,6.101269382970862,1.099280650249801,7.964790532919486,12.542829698318997,16.48641457654883,711.264453988744,665.387083241078,789.7674316264755,845.7034521588059
62429,Henneveux,62,1.846179253366174,50.72579317742744,,10.07805290232445,12.683247612092003,13.013637031627116,13.405194709767557,16.48844232185956,18.674026451162224,19.71805290232445,20.537531226978217,3.832468773021785,5.652468773021784,6.663247612092005,7.19727406325423,0.1,0.2,1.5480529023244498,4.040264511622249,0.4,2.45194709767555,6.344158706973349,12.450624539564302,979.8145995554388,943.1712417248727,1044.3492799314008,1219.7073842690131
62279,Duisans,62,2.6956979205353813,50.30146458250103,,10.201132744232815,12.988612623262409,13.197493124334947,13.474973003364545,17.22528711093899,19.77922952915156,20.516064041271093,21.31304712035875,3.3686013634076826,5.219378293739784,6.058601363407682,6.725475596402859,0.1,1.1707954388216817,2.9886245539611416,5.978631612259117,0.7730859473191305,5.345774191831588,9.8945768608604,13.646464949949747,705.6784967079279,661.9005838304204,780.324482119051,828.7482633604961
59195,Englos,59,2.9565302546436287,50.62625429897735,,10.8,13.55,13.78,14.07,17.85,20.37,21.16,21.96,3.93,5.83,6.66,7.29,0.2,1.1,3.2,6.9,1.6,10.4,15.8,20.1,714.59,654.48,768.74,865.31
62781,Sauchy-Lestrée,62,3.116238032746936,50.2201929524749,,10.489561584716023,13.296955020301468,13.48550612287534,13.749741678736116,17.58597744733313,20.257597895799226,20.9248197803447,21.616188686918505,3.607469811792136,5.457672508397389,6.291762755920075,6.9589534949002685,0.1422701288065397,1.4283550372169278,3.26828674431815,6.126987383637266,1.0719928196031283,7.834863084380501,12.236096279525013,16.046518694214548,697.4535647721722,655.243058440578,772.9751570191788,836.6672247446988
59205,Escaudain,59,3.34101515839419,50.333668476128665,,10.702242682092866,13.514080894030956,13.728161788061913,13.98,17.88224268209287,20.57,21.27856625821669,21.952242682092862,3.7522426820928656,5.622242682092866,6.472242682092865,7.128161788061911,0.140808940309551,1.6408089403095512,3.5,6.922426820928654,1.4,9.736764238761795,14.559191059690452,19.48566258216686,709.0639691401617,664.8635646700069,781.8754358980084,863.9236700710367
59501,Rieulay,59,3.265210472288993,50.387410537420976,,10.86,13.62,13.84,14.14,17.91,20.54,21.26,21.99,4.02,5.87,6.71,7.31,0.2,1.2,3.5,6.7,1.7,11.8,16.6,21.0,711.16,661.39,783.3,876.96
59400,Merville,59,2.635637572208529,50.645386606889566,,10.475480999051534,13.122433105133137,13.37705654676113,13.63784370102656,17.00548099905153,19.40154151018818,20.277089345103807,20.860857557423543,4.145480999051534,5.964114332700989,6.834692605607371,7.388633333649454,0.0999999999999999,0.5774049952576688,2.2931728641409346,4.915767868883266,0.3931604723536121,3.015767868883266,6.708575574235431,9.700326481005026,703.193356999144,661.060186492958,771.7076025477493,872.0333224924768
62291,Éleu-dit-Leauwette,62,2.8111496040490715,50.41878479882613,,10.51,13.29,13.5,13.75,17.53,20.15,20.85,21.6,3.7,5.54,6.41,7.06,0.1,1.4,3.1,6.3,0.9,7.4,11.8,15.1,678.52,637.9,753.35,808.87
62236,Contes,62,1.9609813218825929,50.416735268372086,,10.25,12.86,13.11,13.42,16.63,18.77,19.87,20.43,4.06,5.83,6.74,7.3,0.0,0.3,1.6,4.2,0.4,2.8,7.0,11.4,965.8,920.79,1023.92,1145.91
